12-Oct-16 8:06:36 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:06:36 AM	 Tag: Test	 Status: High_High	Value 95.1056516295154
12-Oct-16 8:06:36 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:06:36 AM	 Tag: Test	 Status: High_High	Value 95.1056516295154
12-Oct-16 8:06:37 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:06:37 AM	 Tag: Test	 Status: High_High	Value 93.3580426497202
12-Oct-16 8:06:37 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:06:37 AM	 Tag: Test	 Status: High_High	Value 93.3580426497202
12-Oct-16 8:06:38 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:06:38 AM	 Tag: Test	 Status: High_High	Value 91.3545457642601
12-Oct-16 8:06:38 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:06:38 AM	 Tag: Test	 Status: High_High	Value 91.3545457642601
12-Oct-16 8:06:39 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:06:39 AM	 Tag: Test	 Status: High_High	Value 89.1006524188368
12-Oct-16 8:06:39 AM	 Tag: Test	 Status: Low_Low	Value -50
12-Oct-16 8:06:39 AM	 Tag: Test	 Status: High_High	Value 89.1006524188368
12-Oct-16 8:06:40 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:06:40 AM	 Tag: Test	 Status: High_High	Value 86.6025403784439
12-Oct-16 8:06:40 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:06:40 AM	 Tag: Test	 Status: High_High	Value 86.6025403784439
12-Oct-16 8:06:41 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:06:41 AM	 Tag: Test	 Status: High_High	Value 83.8670567945424
12-Oct-16 8:06:41 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:06:41 AM	 Tag: Test	 Status: High_High	Value 83.8670567945424
12-Oct-16 8:06:42 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:06:42 AM	 Tag: Test	 Status: High_High	Value 80.9016994374947
12-Oct-16 8:06:42 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:06:42 AM	 Tag: Test	 Status: High_High	Value 80.9016994374947
12-Oct-16 8:06:43 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:06:43 AM	 Tag: Test	 Status: High_High	Value 77.7145961456971
12-Oct-16 8:06:43 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:06:43 AM	 Tag: Test	 Status: High_High	Value 77.7145961456971
12-Oct-16 8:06:44 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:06:44 AM	 Tag: Test	 Status: High_High	Value 74.3144825477394
12-Oct-16 8:06:44 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:06:44 AM	 Tag: Test	 Status: High_High	Value 74.3144825477394
12-Oct-16 8:06:45 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:06:45 AM	 Tag: Test	 Status: High_High	Value 70.7106781186548
12-Oct-16 8:06:45 AM	 Tag: Test	 Status: Low_Low	Value 50
12-Oct-16 8:06:45 AM	 Tag: Test	 Status: High_High	Value 70.7106781186548
